,links
0,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8368406', 'url': 'https://www.imdb.com/title/tt8368406', 'tcourl': 'https://t.co/sljs7ni8K8', 'indices': [35, 58]}]"
1,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1692486', 'url': 'https://www.imdb.com/title/tt1692486', 'tcourl': 'https://t.co/W5XVFc0QX6', 'indices': [34, 57]}]"
2,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4425200', 'url': 'https://www.imdb.com/title/tt4425200', 'tcourl': 'https://t.co/w5lNYJjnd8', 'indices': [216, 239]}]"
3,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2911666', 'url': 'https://www.imdb.com/title/tt2911666', 'tcourl': 'https://t.co/gubDTlaxuT', 'indices': [97, 120]}]"
4,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0730422', 'url': 'https://www.imdb.com/title/tt0730422', 'tcourl': 'https://t.co/r9Yrviu4Om', 'indices': [62, 85]}]"
5,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8114980', 'url': 'https://www.imdb.com/title/tt8114980', 'tcourl': 'https://t.co/PRnjVUlZBM', 'indices': [45, 68]}]"
6,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0089686', 'url': 'https://www.imdb.com/title/tt0089686', 'tcourl': 'https://t.co/hAYc2n9AVJ', 'indices': [78, 101]}]"
7,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111451…', 'url': 'https://www.imdb.com/title/tt11145118', 'tcourl': 'https://t.co/rbyEAWn4GH', 'indices': [103, 126]}]"
8,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7037712', 'url': 'https://www.imdb.com/title/tt7037712', 'tcourl': 'https://t.co/qEY19vCoIe', 'indices': [45, 68]}]"
9,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101518…', 'url': 'https://www.imdb.com/title/tt10151854', 'tcourl': 'https://t.co/hS9Tia96OL', 'indices': [51, 74]}]"
10,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3748420', 'url': 'https://www.imdb.com/title/tt3748420', 'tcourl': 'https://t.co/M9BPhS4yep', 'indices': [75, 98]}]"
11,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt976436…', 'url': 'https://www.imdb.com/title/tt9764362/', 'tcourl': 'https://t.co/z3Gyit0a40', 'indices': [173, 196]}]"
12,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2906216', 'url': 'https://www.imdb.com/title/tt2906216', 'tcourl': 'https://t.co/sITFpYhpRl', 'indices': [104, 127]}]"
13,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt132233…', 'url': 'https://www.imdb.com/title/tt13223398/', 'tcourl': 'https://t.co/QIyVviZlC8', 'indices': [32, 55]}]"
14,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt164190…', 'url': 'https://www.imdb.com/title/tt16419074', 'tcourl': 'https://t.co/YI7uIehLra', 'indices': [30, 53]}]"
15,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0042876', 'url': 'https://www.imdb.com/title/tt0042876', 'tcourl': 'https://t.co/Gcdq6JKrsL', 'indices': [35, 58]}]"
16,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1809398', 'url': 'https://www.imdb.com/title/tt1809398', 'tcourl': 'https://t.co/gsicizUbT5', 'indices': [36, 59]}]"
17,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157678…', 'url': 'https://www.imdb.com/title/tt15767808', 'tcourl': 'https://t.co/EUcCBzaJ7x', 'indices': [157, 180]}]"
18,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8749198', 'url': 'https://www.imdb.com/title/tt8749198', 'tcourl': 'https://t.co/sHDg83wUNa', 'indices': [78, 101]}]"
19,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt226678…', 'url': 'https://www.imdb.com/title/tt22667880', 'tcourl': 'https://t.co/73eI2AaDJg', 'indices': [68, 91]}]"
20,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2872718', 'url': 'https://www.imdb.com/title/tt2872718', 'tcourl': 'https://t.co/IcK12SVxJc', 'indices': [40, 63]}]"
21,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4846340', 'url': 'https://www.imdb.com/title/tt4846340', 'tcourl': 'https://t.co/CkmMYPSD5y', 'indices': [44, 67]}]"
22,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101924…', 'url': 'https://www.imdb.com/title/tt10192406', 'tcourl': 'https://t.co/dYCFZqzyDZ', 'indices': [94, 117]}]"
23,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt242226…', 'url': 'https://www.imdb.com/title/tt24222620', 'tcourl': 'https://t.co/ju9tD8ze1X', 'indices': [76, 99]}]"
24,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8543390', 'url': 'https://www.imdb.com/title/tt8543390', 'tcourl': 'https://t.co/YrSWZQyHk5', 'indices': [75, 98]}]"
25,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0023642', 'url': 'https://www.imdb.com/title/tt0023642', 'tcourl': 'https://t.co/B8ATnmZyV8', 'indices': [46, 69]}]"
26,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0397306', 'url': 'https://www.imdb.com/title/tt0397306', 'tcourl': 'https://t.co/vYKwzd9qlP', 'indices': [50, 73]}]"
27,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0087800', 'url': 'https://www.imdb.com/title/tt0087800', 'tcourl': 'https://t.co/9m2tnK5Ozy', 'indices': [54, 77]}]"
28,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157678…', 'url': 'https://www.imdb.com/title/tt15767808', 'tcourl': 'https://t.co/e1BuIFmXDt', 'indices': [66, 89]}]"
29,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7888964', 'url': 'https://www.imdb.com/title/tt7888964', 'tcourl': 'https://t.co/QMadRRFbAW', 'indices': [33, 56]}]"
30,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt211519…', 'url': 'https://www.imdb.com/title/tt21151974', 'tcourl': 'https://t.co/tHVbSECuvR', 'indices': [99, 122]}]"
31,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt226954…', 'url': 'https://www.imdb.com/title/tt22695402', 'tcourl': 'https://t.co/VyPPpU4hfy', 'indices': [106, 129]}]"
32,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt152552…', 'url': 'https://www.imdb.com/title/tt15255288', 'tcourl': 'https://t.co/CvuTgAiLOZ', 'indices': [43, 66]}]"
33,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt132233…', 'url': 'https://www.imdb.com/title/tt13223398', 'tcourl': 'https://t.co/4KQAofadOd', 'indices': [92, 115]}]"
34,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt118209…', 'url': 'https://www.imdb.com/title/tt11820950', 'tcourl': 'https://t.co/7mN8DUrFkC', 'indices': [44, 67]}]"
35,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt100984…', 'url': 'https://www.imdb.com/title/tt10098448', 'tcourl': 'https://t.co/VxDjZ4mZGP', 'indices': [43, 66]}]"
36,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0230600', 'url': 'https://www.imdb.com/title/tt0230600', 'tcourl': 'https://t.co/H4z1qeuCYn', 'indices': [38, 61]}]"
37,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0064451', 'url': 'https://www.imdb.com/title/tt0064451', 'tcourl': 'https://t.co/5SNNgIKj4S', 'indices': [183, 206]}]"
38,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6443346', 'url': 'https://www.imdb.com/title/tt6443346', 'tcourl': 'https://t.co/TwtdUfkEv3', 'indices': [62, 85]}]"
39,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6718170', 'url': 'https://www.imdb.com/title/tt6718170', 'tcourl': 'https://t.co/QbtRdZnsZC', 'indices': [54, 77]}]"
40,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0120789', 'url': 'https://www.imdb.com/title/tt0120789', 'tcourl': 'https://t.co/ximf1XpXX5', 'indices': [40, 63]}]"
41,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt126822…', 'url': 'https://www.imdb.com/title/tt12682218', 'tcourl': 'https://t.co/owx6pf0GIP', 'indices': [55, 78]}]"
